VV FullAbs ResPart Thermal
-4 0.00211892 0.00211859 0.00149238
-3.9 0.00207046 0.00207011 0.00212457
-3.8 0.00204449 0.00204412 0.00286549
-3.7 0.0020406 0.00204021 0.00365049
-3.6 0.00205529 0.00205488 0.00438223
-3.5 0.0020841 0.00208367 0.00494805
-3.4 0.00212444 0.00212398 0.00524575
-3.3 0.002178 0.00217752 0.00521372
-3.2 0.00225171 0.0022512 0.00485894
-3.1 0.00235664 0.00235609 0.00425324
-3 0.00250565 0.00250508 0.00350295
-2.9 0.00271066 0.00271004 0.00271967
-2.8 0.00298045 0.00297979 0.0019955
-2.7 0.00332077 0.00332006 0.00138805
-2.6 0.00373624 0.00373547 0.00091874
-2.5 0.00423139 0.00423057 0.000581134
-2.4 0.00481182 0.00481095 0.000352972
-2.3 0.00548599 0.00548508 0.000206966
-2.2 0.00626514 0.00626419 0.000117901
-2.1 0.00716041 0.00715943 6.59003E-5
-2 0.00817856 0.00817757 3.69828E-5
-1.9 0.00931817 0.00931718 2.22592E-5
-1.8 0.0105652 0.0105643 1.6817E-5
-1.7 0.0118884 0.0118874 1.88866E-5
-1.6 0.0132379 0.013237 2.96049E-5
-1.5 0.0145498 0.014549 5.35776E-5
-1.4 0.0157513 0.0157504 0.000100472
-1.3 0.0167685 0.0167677 0.000187945
-1.2 0.017537 0.0175362 0.000346195
-1.1 0.0180118 0.018011 0.000624137
-1 0.0181746 0.0181738 0.00109638
