object_id,parameters_sha256,absorption_sha256,planet_name_raw,split,evaluation_status
X10Msw1e11He0p075,2ef6d0d0b64fcd8570b4456225046d4e7b75c908124990bdd8747e47daab35ad,994305d7700a118e6e0fbc212ff69170d7ea4ca7268cfa4bd5cc96f9d4a83d62,23,outer_train,not_evaluated
X10Msw1e11He0p075B2G,21a007d9bb4c53a724e9ec684c58362b8c55edce81ea494f2e1a7e5bce5a1b1e,73db0ddb243d3210d98548b4ee75c5f0ca3f3871046d17a9e0ec66724865b81e,23,outer_development,secondary_historical
X10Msw1e11He0p075H2Ew11,ba1f93291c0ef3efe0caf37ae07f018cc75ecb069eace42d1ffb49a84c4a354e,e8622ba4bf8380b61676920e61faa972e5e5c6ce2242e2cd2885d8ed7b29c305,WASP107b,outer_train,not_evaluated
X10Msw2e13He0p005,d7f1f83ebc0c7c7bb7488c6754d7dd9cb3eebf1f2c2cc6382b6e3701f58fafbe,9e0e8ad58aa1b029b077ccb342e424f5c5c7eab608b6c07f69a676f1a280d301,WASP107b,outer_train,not_evaluated
X10Msw2e13He0p005Bd1,9d4f074c35e0a35bac1c95eb6e48736b3b7eb84c3e006328ce8e171c7aa86173,09c84755bda269afc342618e87bc42a49abcd607d0d47d5ef7e42c320266eb54,WASP107b,outer_development,secondary_historical
X10Msw2e13He0p02,b410e0dd18e38283e08ebd37d0920e8387daafd72e8bc691bba0d0fafcc142d0,1a928a96ecc3fc87307b496410c86f5531e6819aa201af55fc6a75793d597eb4,WASP107b,outer_train,not_evaluated
X10Msw5e13He0p01,2c7fdc2d7c81ad8679acc7d0be286ac444a1942dc920ae99e420abe14214a6dc,a5e6b999cd6767e1e632c230b9d18473fed79c7f7d01ea6ad651b8345a13a47c,WASP107b,outer_train,not_evaluated
X20Msw1e11He0p15,ef4377a8bf930213f33d118cdbf16fdfae2e3514c3bf0414de862adbc5fb97c6,c09ff066c4b524979647fb6ecd78c17cd98ac70111574144a9581a7162ea7945,WASP107b,outer_train,not_evaluated
X20Msw1e11He0p15B2,db9e7d6ab28769326788abc01ea28ff4ca9312f144729025d38d6923e7de083c,84381f252807a8f2f9109e40a02e8d5a9aef804c4103adff215b502d3f840a17,23,outer_train,not_evaluated
X30Msw1e11He0p25,545403475ffdcd8812c832ed9a444f79a4632c47856f8e83c25e6b5b1efd83c6,85732d3a33bac764e723397c4264b0d01355eb2ca7b81df96ab094c0288d16c2,WASP107b,outer_train,not_evaluated
