object_id,outer_train_local_index,fold,group,producer_train_rows,row_in_producer_train
XUV47Msw60e11He0p0240H1,0,3,496,386,False
XUV11Msw87e12He0p2610H0,1,4,30,392,False
XUV13Msw7e12He0p0210H0,2,1,49,393,False
XUV29Msw31e12He0p1050H1,3,2,247,397,False
XUV33Msw84e12He0p0320H1,4,1,325,393,False
XUV39Msw17e12He0p0240H1,5,0,366,392,False
XUV17Msw86e12He0p1490H1,6,2,93,397,False
XUV43Msw28e12He0p1210H1,7,0,452,392,False
XUV45Msw37e12He0p0170H0,8,4,468,392,False
XUV39Msw64e12He0p0160H1,9,3,376,386,False
XUV17Msw80e12He0p1390H0,10,1,92,393,False
XUV29Msw93e12He0p0920H0,11,0,271,392,False
XUV40Msw13e12He0p02H1,12,3,411,386,False
XUV33Msw47e12He0p0280H1,13,4,316,392,False
XUV40Msw2e13He0p01Ew11H2a1,14,3,417,386,False
XUV3Msw66e11He0p2270H1,15,1,398,393,False
XUV1Msw39e11He0p2790H1,16,0,117,392,False
X20Msw1e11He0p15B2,17,3,5,386,False
XUV41Msw7e12He0p1300H1,18,0,440,392,False
XUV41Msw3e13He0p0200H1,19,4,431,392,False
XUV35Msw34e11He0p0120H0,20,2,339,397,False
XUV13Msw32e11He0p0300H0,21,4,40,392,False
XUV20Msw6e12He0p03H1,22,3,136,386,False
XUV41Msw15e11He0p0860H0,23,3,425,386,False
XUV41Msw99e11He0p0860H0,24,4,443,392,False
XUV29Msw2e12He0p030198H1,25,4,245,392,False
XUV25Msw10e11He0p2790H0,26,1,185,393,False
XUV47Msw62e11He0p2610H0,27,1,499,393,False
XUV1Msw12e12He0p3000H1,28,4,115,392,False
XUV33Msw26e11He0p0110H0,29,4,302,392,False
XUV13Msw15e11He0p3000H1,30,3,34,386,False
XUV21Msw68e12He0p0740H1,31,2,155,397,False
XUV35Msw17e12He0p1130H0,32,4,333,392,False
XUV3Msw57e11He0p0370H1,33,3,396,386,False
XUV19Msw42e11He0p0370H1,34,4,106,392,False
XUV31Msw11e11He0p1840H0,35,0,276,392,False
XUV9Msw59e11He0p0160H0,36,4,591,392,False
XUV31Msw72e11He0p0240H0,37,0,288,392,False
XUV31Msw43e11He0p1720H0,38,4,286,392,False
XUV33Msw4e12He0p1970H1,39,0,317,392,False
XUV28Msw5e11He0p01H1,40,2,239,397,False
XUV16Msw1e12He0p05H1,41,1,81,393,False
XUV13Msw55e12He0p0320H0,42,1,44,393,False
XUV1Msw50e11He0p0740H1,43,1,118,393,False
XUV29Msw64e11He0p0420H0,44,1,263,393,False
XUV23Msw74e11He0p0600H0,45,3,178,386,False
XUV29Msw88e12He0p0280H0,46,4,269,392,False
XUV47Msw64e12He0p1130H0,47,2,500,397,False
XUV41Msw93e12He0p0210H0,48,3,442,386,False
XUV47Msw4e11He0p2790H0,49,3,495,386,False
XUV5Msw69e11He0p0520H0,50,0,548,392,False
XUV43Msw41e11He0p0340H0,51,0,456,392,False
XUV19Msw19e11He0p0210H1,52,0,97,392,False
XUV33Msw91e12He0p0800H1,53,2,328,397,False
XUV47Msw64e12He0p2120H0,54,4,501,392,False
XUV35Msw59e12He0p0110H1,55,4,345,392,False
XUV41Msw53e12He0p0520H1,56,2,434,397,False
XUV15Msw1e13He0p0180H0,57,0,60,392,False
XUV19Msw14e11He0p0560H0,58,0,96,392,False
XUV31Msw91e11He0p1210H0,59,1,295,393,False
XUV17Msw59e12He0p0160H0,60,2,87,397,False
XUV47Msw12e11He0p0300H0,61,2,484,397,False
XUV33Msw62e12He0p0320H0,62,1,321,393,False
XUV19Msw37e12He0p2790H0,63,1,102,393,False
XUV19Msw73e11He0p0120H0,64,2,111,397,False
XUV33Msw61e12He0p0520H1,65,3,320,386,False
XUV50Msw8e12He0p03H0,66,0,535,392,False
XUV9Msw2e12He0p030198H0,67,1,580,393,False
XUV40Msw5e13He0p02Ew11H2a1,68,1,421,393,False
XUV25Msw2e12He0p0150H1,69,2,195,397,False
XUV5Msw1e11He0p2-O,70,3,538,386,False
XUV49Msw2e12He0p030198H1,71,1,519,393,False
XUV40Msw2p5e12He0p004,72,2,419,397,False
XUV42Msw8e12He0p03H1,73,2,447,397,False
XUV7Msw76e12He0p1840H0,74,2,567,397,False
XUV33Msw29e11He0p0560H0,75,4,303,392,False
XUV47Msw8e11He0p0180H1,76,2,506,397,False
XUV23Msw7e11He0p1840H0,77,4,179,392,False
