object_id,outer_train_local_index,fold,group,producer_train_rows,row_in_producer_train
XUV47Msw60e11He0p0240H1,0,1,0,243,False
XUV11Msw87e12He0p2610H0,1,0,1,247,False
XUV13Msw7e12He0p0210H0,2,1,2,243,False
XUV29Msw31e12He0p1050H1,3,0,3,247,False
XUV33Msw84e12He0p0320H1,4,0,4,247,False
XUV39Msw17e12He0p0240H1,5,1,5,243,False
XUV17Msw86e12He0p1490H1,6,0,6,247,False
XUV43Msw28e12He0p1210H1,7,1,7,243,False
XUV45Msw37e12He0p0170H0,8,0,8,247,False
XUV39Msw64e12He0p0160H1,9,1,9,243,False
XUV17Msw80e12He0p1390H0,10,0,10,247,False
XUV29Msw93e12He0p0920H0,11,1,11,243,False
XUV40Msw13e12He0p02H1,12,0,12,247,False
XUV33Msw47e12He0p0280H1,13,1,13,243,False
XUV40Msw2e13He0p01Ew11H2a1,14,1,14,243,False
XUV3Msw66e11He0p2270H1,15,0,15,247,False
XUV1Msw39e11He0p2790H1,16,0,16,247,False
X20Msw1e11He0p15B2,17,1,17,243,False
XUV41Msw7e12He0p1300H1,18,0,18,247,False
XUV41Msw3e13He0p0200H1,19,1,19,243,False
XUV35Msw34e11He0p0120H0,20,0,20,247,False
XUV13Msw32e11He0p0300H0,21,1,21,243,False
XUV20Msw6e12He0p03H1,22,1,22,243,False
XUV41Msw15e11He0p0860H0,23,0,23,247,False
XUV41Msw99e11He0p0860H0,24,1,24,243,False
XUV29Msw2e12He0p030198H1,25,0,25,247,False
XUV25Msw10e11He0p2790H0,26,0,26,247,False
XUV47Msw62e11He0p2610H0,27,1,27,243,False
XUV1Msw12e12He0p3000H1,28,0,28,247,False
XUV33Msw26e11He0p0110H0,29,1,29,243,False
XUV13Msw15e11He0p3000H1,30,1,30,243,False
XUV21Msw68e12He0p0740H1,31,0,31,247,False
XUV35Msw17e12He0p1130H0,32,1,32,243,False
XUV3Msw57e11He0p0370H1,33,0,33,247,False
XUV19Msw42e11He0p0370H1,34,1,34,243,False
XUV31Msw11e11He0p1840H0,35,0,35,247,False
XUV9Msw59e11He0p0160H0,36,1,36,243,False
XUV31Msw72e11He0p0240H0,37,0,37,247,False
XUV31Msw43e11He0p1720H0,38,0,38,247,False
XUV33Msw4e12He0p1970H1,39,1,39,243,False
XUV28Msw5e11He0p01H1,40,0,40,247,False
XUV16Msw1e12He0p05H1,41,1,41,243,False
XUV13Msw55e12He0p0320H0,42,0,42,247,False
XUV1Msw50e11He0p0740H1,43,1,43,243,False
XUV29Msw64e11He0p0420H0,44,0,44,247,False
XUV23Msw74e11He0p0600H0,45,1,45,243,False
XUV29Msw88e12He0p0280H0,46,0,46,247,False
