object_id,outer_train_local_index,fold,group,producer_train_rows,row_in_producer_train
XUV47Msw60e11He0p0240H1,0,1,496,245,False
XUV11Msw87e12He0p2610H0,1,1,30,245,False
XUV13Msw7e12He0p0210H0,2,1,49,245,False
XUV29Msw31e12He0p1050H1,3,0,247,245,False
XUV33Msw84e12He0p0320H1,4,1,325,245,False
XUV39Msw17e12He0p0240H1,5,0,366,245,False
XUV17Msw86e12He0p1490H1,6,0,93,245,False
XUV43Msw28e12He0p1210H1,7,0,452,245,False
XUV45Msw37e12He0p0170H0,8,1,468,245,False
XUV39Msw64e12He0p0160H1,9,0,376,245,False
XUV17Msw80e12He0p1390H0,10,1,92,245,False
XUV29Msw93e12He0p0920H0,11,0,271,245,False
XUV40Msw13e12He0p02H1,12,1,411,245,False
XUV33Msw47e12He0p0280H1,13,1,316,245,False
XUV40Msw2e13He0p01Ew11H2a1,14,0,417,245,False
XUV3Msw66e11He0p2270H1,15,1,398,245,False
XUV1Msw39e11He0p2790H1,16,0,117,245,False
X20Msw1e11He0p15B2,17,1,5,245,False
XUV41Msw7e12He0p1300H1,18,0,440,245,False
XUV41Msw3e13He0p0200H1,19,1,431,245,False
XUV35Msw34e11He0p0120H0,20,0,339,245,False
XUV13Msw32e11He0p0300H0,21,0,40,245,False
XUV20Msw6e12He0p03H1,22,0,136,245,False
XUV41Msw15e11He0p0860H0,23,0,425,245,False
XUV41Msw99e11He0p0860H0,24,1,443,245,False
XUV29Msw2e12He0p030198H1,25,0,245,245,False
XUV25Msw10e11He0p2790H0,26,0,185,245,False
XUV47Msw62e11He0p2610H0,27,0,499,245,False
XUV1Msw12e12He0p3000H1,28,0,115,245,False
XUV33Msw26e11He0p0110H0,29,1,302,245,False
XUV13Msw15e11He0p3000H1,30,0,34,245,False
XUV21Msw68e12He0p0740H1,31,0,155,245,False
XUV35Msw17e12He0p1130H0,32,0,333,245,False
XUV3Msw57e11He0p0370H1,33,1,396,245,False
XUV19Msw42e11He0p0370H1,34,0,106,245,False
XUV31Msw11e11He0p1840H0,35,0,276,245,False
XUV9Msw59e11He0p0160H0,36,0,591,245,False
XUV31Msw72e11He0p0240H0,37,1,288,245,False
XUV31Msw43e11He0p1720H0,38,1,286,245,False
XUV33Msw4e12He0p1970H1,39,0,317,245,False
XUV28Msw5e11He0p01H1,40,0,239,245,False
XUV16Msw1e12He0p05H1,41,0,81,245,False
XUV13Msw55e12He0p0320H0,42,1,44,245,False
XUV1Msw50e11He0p0740H1,43,1,118,245,False
XUV29Msw64e11He0p0420H0,44,0,263,245,False
XUV23Msw74e11He0p0600H0,45,0,178,245,False
XUV29Msw88e12He0p0280H0,46,0,269,245,False
XUV47Msw64e12He0p1130H0,47,0,500,245,False
XUV41Msw93e12He0p0210H0,48,0,442,245,False
XUV47Msw4e11He0p2790H0,49,0,495,245,False
XUV5Msw69e11He0p0520H0,50,0,548,245,False
XUV43Msw41e11He0p0340H0,51,0,456,245,False
XUV19Msw19e11He0p0210H1,52,1,97,245,False
XUV33Msw91e12He0p0800H1,53,0,328,245,False
XUV47Msw64e12He0p2120H0,54,1,501,245,False
XUV35Msw59e12He0p0110H1,55,1,345,245,False
XUV41Msw53e12He0p0520H1,56,1,434,245,False
XUV15Msw1e13He0p0180H0,57,0,60,245,False
XUV19Msw14e11He0p0560H0,58,1,96,245,False
XUV31Msw91e11He0p1210H0,59,1,295,245,False
XUV17Msw59e12He0p0160H0,60,1,87,245,False
XUV47Msw12e11He0p0300H0,61,1,484,245,False
XUV33Msw62e12He0p0320H0,62,1,321,245,False
XUV19Msw37e12He0p2790H0,63,0,102,245,False
XUV19Msw73e11He0p0120H0,64,1,111,245,False
XUV33Msw61e12He0p0520H1,65,0,320,245,False
XUV50Msw8e12He0p03H0,66,1,535,245,False
XUV9Msw2e12He0p030198H0,67,1,580,245,False
XUV40Msw5e13He0p02Ew11H2a1,68,0,421,245,False
XUV25Msw2e12He0p0150H1,69,1,195,245,False
XUV5Msw1e11He0p2-O,70,1,538,245,False
XUV49Msw2e12He0p030198H1,71,1,519,245,False
XUV40Msw2p5e12He0p004,72,0,419,245,False
XUV42Msw8e12He0p03H1,73,0,447,245,False
XUV7Msw76e12He0p1840H0,74,1,567,245,False
XUV33Msw29e11He0p0560H0,75,1,303,245,False
XUV47Msw8e11He0p0180H1,76,0,506,245,False
XUV23Msw7e11He0p1840H0,77,1,179,245,False
XUV35Msw49e12He0p0130H0,78,0,343,245,False
XUV25Msw99e12He0p2120H1,79,0,218,245,False
XUV29Msw37e12He0p2790H1,80,1,251,245,False
XUV41Msw22e13He0p2270H1PName,81,1,428,245,False
XUV9Msw20e12He0p2790H1,82,1,577,245,False
XUV25Msw49e11He0p0420H0,83,1,209,245,False
XUV1Msw66e12He0p0230H1,84,0,122,245,False
XUV21Msw93e11He0p0210H0,85,1,160,245,False
XUV40Msw12e11He0p04H1,86,1,409,245,False
XUV7Msw95e11He0p0320H0,87,0,570,245,False
XUV47Msw49e11He0p1300H1,88,0,493,245,False
XUV7Msw18e11He0p2610H1,89,1,556,245,False
XUV9Msw57e11He0p0260H1,90,1,590,245,False
